id,neighbourhood,latitude,longitude,room_type,minimum_nights,number_of_reviews,reviews_per_month,availability_365,price_eur_per_night,price_unit,distance_to_oktoberfest_km,distance_band,oktoberfest_observed_days,oktoberfest_available_days,available_during_observed_oktoberfest
1237546766142342743,Allach-Untermenzing,48.17320818817398,11.447939595842447,Private room,1,1,0.07,284,120.0,EUR per night,8.8238884462384,5-10 km from Oktoberfest,,,
1238138635974768144,Au-Haidhausen,48.12259,11.59289,Private room,1,0,,365,400.0,EUR per night,3.382715956673506,2-5 km from Oktoberfest,,,
1238168887332618130,Maxvorstadt,48.15286,11.56099,Entire home/apt,2,8,0.54,22,942.0,EUR per night,2.4816792816892534,2-5 km from Oktoberfest,,,
1238286384819577563,Thalkirchen-Obersendling-Forstenried-Fürstenried-Solln,48.08271,11.50222,Entire home/apt,3,7,0.33,13,137.0,EUR per night,6.4993038464392905,5-10 km from Oktoberfest,,,
1238383464079829315,Neuhausen-Nymphenburg,48.15540123777531,11.540397777095814,Entire home/apt,3,3,0.14,97,125.0,EUR per night,2.6990762172851124,2-5 km from Oktoberfest,,,
1238518909836681470,Altstadt-Lehel,48.14143,11.58364,Entire home/apt,1,11,0.61,323,354.0,EUR per night,2.7461105735387776,2-5 km from Oktoberfest,,,
1238820392358275006,Pasing-Obermenzing,48.1458799,11.4608095,Entire home/apt,5,27,1.3,26,110.0,EUR per night,6.762233609984951,5-10 km from Oktoberfest,,,
1239385287706414931,Thalkirchen-Obersendling-Forstenried-Fürstenried-Solln,48.0979678369317,11.518004142920672,Entire home/apt,1,12,0.56,312,169.0,EUR per night,4.438839640232162,2-5 km from Oktoberfest,,,
1239409924327733740,Untergiesing-Harlaching,48.1097421510805,11.569528853265853,Entire home/apt,1,2,0.14,365,271.0,EUR per night,2.8776520461430133,2-5 km from Oktoberfest,,,
1239483000325656191,Untergiesing-Harlaching,48.118162846271865,11.572044373005324,Private room,1,42,1.95,18,62.0,EUR per night,2.2656706701317497,2-5 km from Oktoberfest,,,
1239600215449802162,Schwabing-West,48.175243678398,11.572182707292349,Private room,1,0,,338,50.0,EUR per night,5.104883503516698,5-10 km from Oktoberfest,,,
1239686800678514616,Au-Haidhausen,48.1374507,11.6178436,Entire home/apt,1,5,0.23,362,182.0,EUR per night,5.109161390922084,5-10 km from Oktoberfest,,,
1239687539160682166,Allach-Untermenzing,48.18083927739477,11.44269394024064,Private room,1,166,7.77,107,45.0,EUR per night,9.611550988174642,5-10 km from Oktoberfest,,,
1239858154357659628,Bogenhausen,48.14066355298366,11.638329550623894,Private room,2,9,0.42,4,105.0,EUR per night,6.663427023237322,5-10 km from Oktoberfest,,,
1239874155614684117,Ramersdorf-Perlach,48.11973,11.62536,Private room,1,3,0.14,361,125.0,EUR per night,5.790840065073379,5-10 km from Oktoberfest,,,
1239934932347259159,Thalkirchen-Obersendling-Forstenried-Fürstenried-Solln,48.10302354511212,11.544882729649544,Entire home/apt,3,37,1.73,14,90.0,EUR per night,3.2291580096856807,2-5 km from Oktoberfest,,,
1240512270856568804,Bogenhausen,48.15411621146426,11.647329468977436,Private room,1,11,0.51,96,151.0,EUR per night,7.667541876443439,5-10 km from Oktoberfest,,,
1240557775546564100,Pasing-Obermenzing,48.14780185317036,11.470323096184076,Entire home/apt,1,5,0.23,28,331.0,EUR per night,6.13540335119359,5-10 km from Oktoberfest,,,
1240631660384340506,Ludwigsvorstadt-Isarvorstadt,48.13706194694085,11.560369199911214,Private room,6,0,,342,70.0,EUR per night,0.9899800994942917,0-2 km from Oktoberfest,,,
1241080909315884092,Bogenhausen,48.15024,11.61399,Entire home/apt,1,3,0.14,4,340.0,EUR per night,5.201604847456243,5-10 km from Oktoberfest,,,
1241130201076350915,Ludwigsvorstadt-Isarvorstadt,48.13125895211541,11.554446044021036,Entire home/apt,2,4,0.26,72,212.0,EUR per night,0.3739226204197636,0-2 km from Oktoberfest,,,
1241169515657635139,Ramersdorf-Perlach,48.10078,11.65544,Private room,1,1,0.07,180,514.0,EUR per night,8.592180430179122,5-10 km from Oktoberfest,,,
1241271103115905913,Bogenhausen,48.15674248718887,11.621731331786895,Private room,2,2,0.09,355,236.0,EUR per night,6.029270975240242,5-10 km from Oktoberfest,,,
1241293341930558663,Moosach,48.17911,11.50881,Private room,1,41,1.91,358,60.0,EUR per night,6.05540004055625,5-10 km from Oktoberfest,,,
1241400457163710222,Laim,48.1268682,11.5014389,Entire home/apt,1,7,0.33,327,128.0,EUR per night,3.610572760159828,2-5 km from Oktoberfest,,,
1241782360426890894,Schwanthalerhöhe,48.1311635,11.5378273,Entire home/apt,3,2,0.09,165,331.0,EUR per night,0.8701405778214492,0-2 km from Oktoberfest,,,
1241857620046753609,Schwanthalerhöhe,48.1349819,11.544066,Entire home/apt,1,16,0.74,351,355.0,EUR per night,0.5292064504594541,0-2 km from Oktoberfest,,,
1241968529181543140,Maxvorstadt,48.15491,11.56993,Entire home/apt,1,3,0.2,251,331.0,EUR per night,2.97391775745285,2-5 km from Oktoberfest,,,
1241973354740241147,Neuhausen-Nymphenburg,48.15542958715486,11.540638068818977,Entire home/apt,3,12,0.56,87,125.0,EUR per night,2.697727532485159,2-5 km from Oktoberfest,,,
1242006611226650723,Aubing-Lochhausen-Langwied,48.17755,11.39956,Private room,2,83,3.9,230,101.0,EUR per night,12.226160157378455,10+ km from Oktoberfest,,,
1242020237186784065,Bogenhausen,48.17259,11.63556,Entire home/apt,1,99,5.01,333,63.0,EUR per night,7.824982643103482,5-10 km from Oktoberfest,,,
1242021404981243370,Ludwigsvorstadt-Isarvorstadt,48.1356865,11.5560897,Entire home/apt,5,1,0.11,346,627.0,EUR per night,0.6453072339741911,0-2 km from Oktoberfest,,,
1242513023786194085,Maxvorstadt,48.14354,11.54064,Entire home/apt,15,0,,364,240.0,EUR per night,1.4517181093433917,0-2 km from Oktoberfest,,,
1242635099565660798,Altstadt-Lehel,48.14812,11.59195,Private room,2,2,0.13,75,90.0,EUR per night,3.6296775816082305,2-5 km from Oktoberfest,,,
1242681083551928227,Moosach,48.18253,11.52904,Entire home/apt,14,0,,364,200.0,EUR per night,5.830774224868222,5-10 km from Oktoberfest,,,
1242699446044658349,Neuhausen-Nymphenburg,48.1570941005586,11.531474312943756,Entire home/apt,2,31,1.47,128,459.0,EUR per night,3.1043279162075232,2-5 km from Oktoberfest,,,
1242723132051821622,Schwabing-West,48.16123,11.56786,Entire home/apt,3,0,,295,317.0,EUR per night,3.534387413606063,2-5 km from Oktoberfest,,,
